"SYMBOL","UNDERLYING ASSET","OPEN","HIGH","LOW","PREV. CLOSE","LTP","INDICATIVE CLOSE","CHNG","%CHNG","VOLUME","VALUE(₹ Crores)","NAV","52W H","52W L","30D  %CHNG","365 D","365 D % CHNG","30 D"
"GROWWDEFNC","Nifty India Defence Index- Total Return Index","67.99","71.80","65.05","68.99","71.80","-","2.81","4.07","12,83,759","9.07","68.79","76.69","49.83",16.48,"-","-","09-Apr-2025"
"MODEFENCE","Nifty India Defence Total Return Index","75.99","78.92","72.00","75.62","78.50","-","2.88","3.81","49,32,284","38.24","75.51","84.85","55.21",16.34,"-","-","09-Apr-2025"
"TNIDETF","Nifty India Digital Index","85.63","87.98","84.41","85.69","87.98","-","2.29","2.67","24,720","0.21","85.99","104.78","71.98",8.03,"09-May-2024","10.62","09-Apr-2025"
"BANKPSU","Nifty PSU Bank Total Return Index","61.72","62.81","61.35","61.36","62.81","-","1.45","2.36","6,667","0.04","61.61","74.11","55.29",3.19,"-","-","09-Apr-2025"
"HDFCPVTBAN","HDFC NIFTY Private Bank ETF","27.34","28.00","26.98","27.36","28.00","-","0.64","2.34","2,70,929","0.73","27.46","28.44","23.00",7.17,"09-May-2024","14.18","09-Apr-2025"
"SBIBPB","BSE PSU Bank Index TRI","35.93","36.26","35.50","35.54","36.26","-","0.72","2.03","6,294","0.02","35.50","40.50","34.37","-","-","-","-"
"HDFCMID150","HDFC NIFTY Midcap 150 ETF","19.41","20.20","18.91","19.76","20.15","-","0.39","1.97","7,90,789","1.55","19.72","23.65","17.51",6.89,"09-May-2024","7.53","09-Apr-2025"
"PSUBANK","Nifty PSU Bank","609.89","624.80","602.10","612.79","624.80","-","12.01","1.96","21,884","1.35","613.95","870.00","552.00",2.24,"09-May-2024","-11.54","09-Apr-2025"
"PSUBANKADD","DSP Nifty PSU Bank ETF","61.82","63.00","61.51","61.83","63.00","-","1.17","1.89","9,937","0.06","61.69","82.90","55.47",2.88,"09-May-2024","-11.48","09-Apr-2025"
"MAFANG","NYSE FANG+ Total Return Index","121.45","124.20","120.27","122.05","124.20","-","2.15","1.76","5,44,149","6.67","106.59","153.48","89.25",15.57,"09-May-2024","27.97","09-Apr-2025"
"PSUBNKBEES","Nifty PSU Bank","68.43","69.66","66.59","68.43","69.60","-","1.17","1.71","23,94,259","16.45","68.49","90.30","61.54",2.48,"09-May-2024","-11.62","09-Apr-2025"
"PSUBNKIETF","ICICI Prudential Nifty PSU Bank ETF","62.50","63.24","60.92","62.19","63.20","-","1.01","1.62","1,40,664","0.88","62.12","86.70","55.80",2.65,"09-May-2024","-11.36","09-Apr-2025"
"MASPTOP50","S&P 500 Top 50 Total Return Index","51.30","51.89","50.70","50.91","51.70","-","0.79","1.55","2,97,570","1.53","44.31","64.95","36.48",12.51,"09-May-2024","18.74","09-Apr-2025"
"MID150CASE","Zerodha Nifty Midcap 150 ETF","9.93","9.95","9.40","9.73","9.88","-","0.15","1.54","9,69,806","0.93","9.71","12.97","7.66",7.16,"-","-","09-Apr-2025"
"NIFMID150","UTI Nifty Midcap 150 Exchange Traded Fund (ETF)","188.14","199.37","188.14","197.01","199.37","-","2.36","1.20","3,447","0.07","196.74","232.80","174.82",7.71,"09-May-2024","7.90","09-Apr-2025"
"LICNMID100","LIC MF Nifty Midcap 100 ETF","53.88","54.35","52.34","53.28","53.84","-","0.56","1.05","11,072","0.06","53.28","65.00","46.03",6.27,"09-May-2024","8.45","09-Apr-2025"
"HDFCPSUBK","HDFC NIFTY PSU BANK ETF","62.05","63.15","61.70","62.08","62.71","-","0.63","1.01","23,688","0.15","61.92","81.65","55.68",2.32,"09-May-2024","-11.09","09-Apr-2025"
"MIDSELIETF","S&P BSE Midcap Select Index","16.11","16.27","15.83","16.11","16.27","-","0.16","0.99","6,79,096","1.09","16.13","20.00","13.86",7.11,"09-May-2024","-89.52","09-Apr-2025"
"SILVRETF","Mirae Asset Silver ETF","93.88","94.87","93.88","93.88","94.75","-","0.87","0.93","10,914","0.10","94.16","100.47","78.40",5.77,"09-May-2024","16.17","09-Apr-2025"
"AXISILVER","Axis Silver ETF","96.30","96.96","96.02","96.06","96.93","-","0.87","0.91","14,853","0.14","96.13","103.83","80.00",5.91,"09-May-2024","16.24","09-Apr-2025"
"SILVER360","Commodity-Silver","94.87","96.15","94.87","95.34","96.15","-","0.81","0.85","26,038","0.25","95.45","104.00","78.40","-","-","-","-"
"GSEC10IETF","ICICI Prudential Nifty 10 yr Benchmark G-Sec ETF","254.76","257.94","252.83","256.04","257.94","-","1.90","0.74","3,434","0.09","254.58","260.00","228.00",1.59,"08-May-2024","12.98","09-Apr-2025"
"NEXT30ADD","BSE SENSEX Next 30 Index","35.63","35.99","35.25","35.73","35.99","-","0.26","0.73","34,092","0.12","35.65","38.90","32.27",4,"-","-","09-Apr-2025"
"HDFCSILVER","HDFC Silver ETF","93.95","94.10","92.81","93.48","94.09","-","0.61","0.65","21,40,208","20.01","92.74","100.35","77.50",6.14,"09-May-2024","16.67","09-Apr-2025"
"UTISXN50","BSE Sensex Next 50","83.30","83.61","81.10","83.08","83.61","-","0.53","0.64","3,472","0.03","82.80","96.27","66.72",4,"09-May-2024","4.07","09-Apr-2025"
"SDL26BEES","Nifty SDL Apr 2026 Top 20 Equal Weight Index","130.04","130.04","129.42","129.17","129.99","-","0.82","0.63","598","0.01","130.42","130.60","119.50",0.43,"09-May-2024","7.84","09-Apr-2025"
